"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client3",,,,"User:","vagrant"
"Cmdline:","dstat -tpcdrmgln --time --cpu --mem --load --output /home/Client/client3CPUUsage.csv",,,,"Date:","27 Dec 2020 05:53:53 UTC"

"system","procs",,,"total cpu usage",,,,,,"dsk/total",,"io/total",,"memory usage",,,,"paging",,"load avg",,,"net/total",,"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,
27-12 05:54:16,0.0,0.0,0.0,0.500,0.0,99.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184500224.0,26157056.0,601866240.0,229441536.0,0.0,0.0,0.200,0.100,0.060,0.0,0.0,27-12 05:54:16,0.500,0.0,99.500,0.0,0.0,0.0,184500224.0,26157056.0,601866240.0,229441536.0,0.200,0.100,0.060
27-12 05:54:17,0.0,0.0,0.0,1.005,0.503,97.990,0.0,0.0,0.503,0.0,0.0,0.0,0.0,184500224.0,26157056.0,601866240.0,229441536.0,0.0,0.0,0.200,0.100,0.060,10069.0,12422.0,27-12 05:54:17,1.005,0.503,97.990,0.0,0.0,0.503,184500224.0,26157056.0,601866240.0,229441536.0,0.200,0.100,0.060
27-12 05:54:18,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,0.0,2.0,184557568.0,26165248.0,601866240.0,229376000.0,0.0,0.0,0.200,0.100,0.060,0.0,0.0,27-12 05:54:18,0.0,0.500,99.500,0.0,0.0,0.0,184557568.0,26165248.0,601866240.0,229376000.0,0.200,0.100,0.060
27-12 05:54:19,0.0,0.0,0.0,0.0,0.500,99.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184557568.0,26165248.0,601866240.0,229376000.0,0.0,0.0,0.200,0.100,0.060,0.0,0.0,27-12 05:54:19,0.0,0.0,100.0,0.0,0.0,0.0,184557568.0,26165248.0,601866240.0,229376000.0,0.200,0.100,0.060
27-12 05:54:20,0.0,0.0,0.0,0.500,0.0,99.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184553472.0,26165248.0,601870336.0,229376000.0,0.0,0.0,0.200,0.100,0.060,0.0,0.0,27-12 05:54:20,0.500,0.0,99.500,0.0,0.0,0.0,184553472.0,26165248.0,601870336.0,229376000.0,0.200,0.100,0.060
27-12 05:54:21,0.0,0.0,0.0,0.500,0.0,99.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184553472.0,26165248.0,601870336.0,229376000.0,0.0,0.0,0.190,0.090,0.060,0.0,0.0,27-12 05:54:21,0.500,0.0,99.500,0.0,0.0,0.0,184553472.0,26165248.0,601870336.0,229376000.0,0.190,0.090,0.060
27-12 05:54:22,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184553472.0,26165248.0,601870336.0,229376000.0,0.0,0.0,0.190,0.090,0.060,0.0,0.0,27-12 05:54:22,0.0,0.0,100.0,0.0,0.0,0.0,184553472.0,26165248.0,601870336.0,229376000.0,0.190,0.090,0.060
27-12 05:54:23,0.0,0.0,0.0,0.495,0.0,99.010,0.0,0.0,0.495,0.0,12288.0,0.0,2.0,184553472.0,26169344.0,601866240.0,229376000.0,0.0,0.0,0.190,0.090,0.060,0.0,0.0,27-12 05:54:23,0.495,0.0,99.010,0.0,0.0,0.495,184553472.0,26169344.0,601866240.0,229376000.0,0.190,0.090,0.060
27-12 05:54:24,0.0,0.0,0.0,0.0,0.0,99.482,0.0,0.0,0.518,0.0,0.0,0.0,0.0,184553472.0,26169344.0,601866240.0,229376000.0,0.0,0.0,0.190,0.090,0.060,0.0,0.0,27-12 05:54:24,0.0,0.0,99.482,0.0,0.0,0.518,184553472.0,26169344.0,601866240.0,229376000.0,0.190,0.090,0.060
27-12 05:54:25,0.0,0.0,0.0,0.0,0.500,99.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184549376.0,26169344.0,601870336.0,229376000.0,0.0,0.0,0.190,0.090,0.060,0.0,0.0,27-12 05:54:25,0.0,0.500,99.500,0.0,0.0,0.0,184549376.0,26169344.0,601870336.0,229376000.0,0.190,0.090,0.060
27-12 05:54:26,0.0,0.0,0.0,0.995,0.0,99.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184549376.0,26169344.0,601870336.0,229376000.0,0.0,0.0,0.170,0.090,0.060,0.0,0.0,27-12 05:54:26,0.990,0.0,99.010,0.0,0.0,0.0,184549376.0,26169344.0,601870336.0,229376000.0,0.170,0.090,0.060
27-12 05:54:27,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184549376.0,26169344.0,601870336.0,229376000.0,0.0,0.0,0.170,0.090,0.060,0.0,0.0,27-12 05:54:27,0.503,0.0,99.497,0.0,0.0,0.0,184549376.0,26169344.0,601870336.0,229376000.0,0.170,0.090,0.060
27-12 05:54:28,0.0,0.0,0.0,0.500,0.0,99.500,0.0,0.0,0.0,0.0,12288.0,0.0,2.0,184549376.0,26173440.0,601866240.0,229376000.0,0.0,0.0,0.170,0.090,0.060,0.0,0.0,27-12 05:54:28,0.0,0.0,100.0,0.0,0.0,0.0,184549376.0,26173440.0,601866240.0,229376000.0,0.170,0.090,0.060
27-12 05:54:29,0.0,0.0,0.0,0.503,0.503,98.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184545280.0,26173440.0,601870336.0,229376000.0,0.0,0.0,0.170,0.090,0.060,0.0,0.0,27-12 05:54:29,0.503,0.503,98.995,0.0,0.0,0.0,184545280.0,26173440.0,601870336.0,229376000.0,0.170,0.090,0.060
27-12 05:54:30,0.0,0.0,0.0,0.0,0.503,99.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184545280.0,26173440.0,601870336.0,229376000.0,0.0,0.0,0.170,0.090,0.060,0.0,0.0,27-12 05:54:30,0.0,0.503,99.497,0.0,0.0,0.0,184545280.0,26173440.0,601870336.0,229376000.0,0.170,0.090,0.060
27-12 05:54:31,0.0,0.0,0.0,0.0,0.503,99.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184545280.0,26173440.0,601870336.0,229376000.0,0.0,0.0,0.160,0.090,0.060,434.0,462.0,27-12 05:54:31,0.0,0.500,99.500,0.0,0.0,0.0,184545280.0,26173440.0,601870336.0,229376000.0,0.160,0.090,0.060
27-12 05:54:32,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184545280.0,26173440.0,601870336.0,229376000.0,0.0,0.0,0.160,0.090,0.060,0.0,0.0,27-12 05:54:32,0.0,0.0,100.0,0.0,0.0,0.0,184545280.0,26173440.0,601870336.0,229376000.0,0.160,0.090,0.060
27-12 05:54:33,0.0,0.0,0.0,0.500,0.0,99.500,0.0,0.0,0.0,0.0,12288.0,0.0,2.0,184541184.0,26177536.0,601870336.0,229376000.0,0.0,0.0,0.160,0.090,0.060,0.0,0.0,27-12 05:54:33,0.500,0.0,99.500,0.0,0.0,0.0,184541184.0,26177536.0,601870336.0,229376000.0,0.160,0.090,0.060
27-12 05:54:34,0.0,0.0,0.0,0.498,0.498,99.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184541184.0,26177536.0,601870336.0,229376000.0,0.0,0.0,0.160,0.090,0.060,0.0,0.0,27-12 05:54:34,0.498,0.498,99.005,0.0,0.0,0.0,184541184.0,26177536.0,601870336.0,229376000.0,0.160,0.090,0.060
27-12 05:54:35,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184537088.0,26177536.0,601874432.0,229376000.0,0.0,0.0,0.160,0.090,0.060,0.0,0.0,27-12 05:54:35,0.0,0.0,100.0,0.0,0.0,0.0,184537088.0,26177536.0,601874432.0,229376000.0,0.160,0.090,0.060
27-12 05:54:36,0.0,0.0,0.0,0.0,0.513,99.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184537088.0,26177536.0,601874432.0,229376000.0,0.0,0.0,0.150,0.090,0.060,0.0,0.0,27-12 05:54:36,0.0,0.510,99.490,0.0,0.0,0.0,184537088.0,26177536.0,601874432.0,229376000.0,0.150,0.090,0.060
27-12 05:54:37,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184537088.0,26177536.0,601874432.0,229376000.0,0.0,0.0,0.150,0.090,0.060,0.0,0.0,27-12 05:54:37,0.0,0.0,100.0,0.0,0.0,0.0,184537088.0,26177536.0,601874432.0,229376000.0,0.150,0.090,0.060
27-12 05:54:38,0.0,0.0,0.0,0.503,0.0,99.497,0.0,0.0,0.0,0.0,12288.0,0.0,2.0,184537088.0,26181632.0,601870336.0,229376000.0,0.0,0.0,0.150,0.090,0.060,0.0,0.0,27-12 05:54:38,0.503,0.0,99.497,0.0,0.0,0.0,184537088.0,26181632.0,601870336.0,229376000.0,0.150,0.090,0.060
27-12 05:54:39,0.0,0.0,0.0,0.500,0.0,99.500,0.0,0.0,0.0,0.0,32768.0,0.0,4.0,184532992.0,26181632.0,601874432.0,229376000.0,0.0,0.0,0.150,0.090,0.060,0.0,0.0,27-12 05:54:39,0.500,0.0,99.500,0.0,0.0,0.0,184532992.0,26181632.0,601874432.0,229376000.0,0.150,0.090,0.060
27-12 05:54:40,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184532992.0,26181632.0,601874432.0,229376000.0,0.0,0.0,0.150,0.090,0.060,0.0,0.0,27-12 05:54:40,0.0,0.0,100.0,0.0,0.0,0.0,184532992.0,26181632.0,601874432.0,229376000.0,0.150,0.090,0.060
27-12 05:54:41,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184532992.0,26181632.0,601874432.0,229376000.0,0.0,0.0,0.130,0.090,0.060,0.0,0.0,27-12 05:54:41,0.833,0.0,99.167,0.0,0.0,0.0,184532992.0,26181632.0,601874432.0,229376000.0,0.130,0.090,0.060
27-12 05:54:42,0.0,0.0,0.0,0.503,0.0,99.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184532992.0,26181632.0,601874432.0,229376000.0,0.0,0.0,0.130,0.090,0.060,0.0,0.0,27-12 05:54:42,0.0,0.503,99.497,0.0,0.0,0.0,184532992.0,26181632.0,601874432.0,229376000.0,0.130,0.090,0.060
27-12 05:54:43,0.0,0.0,0.0,0.0,0.500,99.500,0.0,0.0,0.0,0.0,28672.0,0.0,3.0,184532992.0,26189824.0,601866240.0,229376000.0,0.0,0.0,0.130,0.090,0.060,0.0,0.0,27-12 05:54:43,0.500,0.0,99.500,0.0,0.0,0.0,184532992.0,26189824.0,601866240.0,229376000.0,0.130,0.090,0.060
27-12 05:54:44,0.0,0.0,0.0,0.510,0.0,99.490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184524800.0,26189824.0,601874432.0,229376000.0,0.0,0.0,0.130,0.090,0.060,0.0,0.0,27-12 05:54:44,0.0,0.0,100.0,0.0,0.0,0.0,184524800.0,26189824.0,601874432.0,229376000.0,0.130,0.090,0.060
27-12 05:54:45,1.0,0.0,0.0,0.0,0.529,99.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184524800.0,26189824.0,601874432.0,229376000.0,0.0,0.0,0.130,0.090,0.060,0.0,0.0,27-12 05:54:45,0.0,0.529,99.471,0.0,0.0,0.0,184524800.0,26189824.0,601874432.0,229376000.0,0.130,0.090,0.060
27-12 05:54:46,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184524800.0,26189824.0,601874432.0,229376000.0,0.0,0.0,0.120,0.090,0.060,0.0,0.0,27-12 05:54:46,0.0,0.0,100.0,0.0,0.0,0.0,184524800.0,26189824.0,601874432.0,229376000.0,0.120,0.090,0.060
27-12 05:54:47,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184520704.0,26189824.0,601878528.0,229376000.0,0.0,0.0,0.120,0.090,0.060,0.0,0.0,27-12 05:54:47,0.0,0.0,100.0,0.0,0.0,0.0,184520704.0,26189824.0,601878528.0,229376000.0,0.120,0.090,0.060
27-12 05:54:48,0.0,0.0,0.0,0.0,0.500,99.500,0.0,0.0,0.0,0.0,12288.0,0.0,2.0,184520704.0,26198016.0,601870336.0,229376000.0,0.0,0.0,0.120,0.090,0.060,0.0,0.0,27-12 05:54:48,0.0,0.500,99.500,0.0,0.0,0.0,184520704.0,26198016.0,601870336.0,229376000.0,0.120,0.090,0.060
27-12 05:54:49,0.0,0.0,0.0,0.500,0.0,99.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184512512.0,26198016.0,601878528.0,229376000.0,0.0,0.0,0.120,0.090,0.060,0.0,0.0,27-12 05:54:49,0.500,0.0,99.500,0.0,0.0,0.0,184512512.0,26198016.0,601878528.0,229376000.0,0.120,0.090,0.060
27-12 05:54:50,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184512512.0,26198016.0,601878528.0,229376000.0,0.0,0.0,0.120,0.090,0.060,0.0,0.0,27-12 05:54:50,0.0,0.500,99.500,0.0,0.0,0.0,184512512.0,26198016.0,601878528.0,229376000.0,0.120,0.090,0.060
27-12 05:54:51,0.0,0.0,0.0,0.0,0.500,99.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184512512.0,26198016.0,601878528.0,229376000.0,0.0,0.0,0.110,0.090,0.060,0.0,0.0,27-12 05:54:51,0.498,0.0,99.502,0.0,0.0,0.0,184512512.0,26198016.0,601878528.0,229376000.0,0.110,0.090,0.060
27-12 05:54:52,0.0,0.0,0.0,0.500,0.0,99.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184512512.0,26198016.0,601878528.0,229376000.0,0.0,0.0,0.110,0.090,0.060,0.0,0.0,27-12 05:54:52,0.0,0.0,100.0,0.0,0.0,0.0,184512512.0,26198016.0,601878528.0,229376000.0,0.110,0.090,0.060
27-12 05:54:53,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,0.0,2.0,184512512.0,26202112.0,601874432.0,229376000.0,0.0,0.0,0.110,0.090,0.060,0.0,0.0,27-12 05:54:53,0.0,0.0,100.0,0.0,0.0,0.0,184512512.0,26202112.0,601874432.0,229376000.0,0.110,0.090,0.060
27-12 05:54:54,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184508416.0,26202112.0,601878528.0,229376000.0,0.0,0.0,0.110,0.090,0.060,0.0,0.0,27-12 05:54:54,0.0,0.0,100.0,0.0,0.0,0.0,184508416.0,26202112.0,601878528.0,229376000.0,0.110,0.090,0.060
27-12 05:54:55,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184508416.0,26202112.0,601878528.0,229376000.0,0.0,0.0,0.110,0.090,0.060,0.0,0.0,27-12 05:54:55,0.500,0.0,99.500,0.0,0.0,0.0,184508416.0,26202112.0,601878528.0,229376000.0,0.110,0.090,0.060
27-12 05:54:56,0.0,0.0,0.0,0.505,0.0,99.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184508416.0,26202112.0,601878528.0,229376000.0,0.0,0.0,0.100,0.080,0.060,0.0,0.0,27-12 05:54:56,0.0,0.0,100.0,0.0,0.0,0.0,184508416.0,26202112.0,601878528.0,229376000.0,0.100,0.080,0.060
27-12 05:54:57,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184508416.0,26202112.0,601878528.0,229376000.0,0.0,0.0,0.100,0.080,0.060,0.0,0.0,27-12 05:54:57,0.0,0.0,100.0,0.0,0.0,0.0,184508416.0,26202112.0,601878528.0,229376000.0,0.100,0.080,0.060
27-12 05:54:58,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,0.0,2.0,184508416.0,26206208.0,601874432.0,229376000.0,0.0,0.0,0.100,0.080,0.060,0.0,0.0,27-12 05:54:58,0.503,0.0,99.497,0.0,0.0,0.0,184508416.0,26206208.0,601874432.0,229376000.0,0.100,0.080,0.060
27-12 05:54:59,0.0,0.0,0.0,0.510,0.0,99.490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184500224.0,26206208.0,601882624.0,229376000.0,0.0,0.0,0.100,0.080,0.060,9985.0,16702.0,27-12 05:54:59,0.0,0.0,100.0,0.0,0.0,0.0,184500224.0,26206208.0,601882624.0,229376000.0,0.100,0.080,0.060
27-12 05:55:00,0.0,0.0,0.0,0.0,0.500,99.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184532992.0,26206208.0,601882624.0,229343232.0,0.0,0.0,0.100,0.080,0.060,0.0,0.0,27-12 05:55:00,0.0,0.500,99.500,0.0,0.0,0.0,184532992.0,26206208.0,601882624.0,229343232.0,0.100,0.080,0.060
27-12 05:55:01,0.0,0.0,0.0,0.0,0.500,99.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184532992.0,26206208.0,601882624.0,229343232.0,0.0,0.0,0.100,0.080,0.060,0.0,0.0,27-12 05:55:01,0.0,0.500,99.500,0.0,0.0,0.0,184532992.0,26206208.0,601882624.0,229343232.0,0.100,0.080,0.060
27-12 05:55:02,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184532992.0,26206208.0,601882624.0,229343232.0,0.0,0.0,0.100,0.080,0.060,0.0,0.0,27-12 05:55:02,0.505,0.0,99.495,0.0,0.0,0.0,184532992.0,26206208.0,601882624.0,229343232.0,0.100,0.080,0.060
27-12 05:55:03,0.0,0.0,0.0,0.500,0.0,99.500,0.0,0.0,0.0,0.0,12288.0,0.0,2.0,184659968.0,26210304.0,601878528.0,229216256.0,0.0,0.0,0.100,0.080,0.060,0.0,0.0,27-12 05:55:03,0.500,0.0,99.500,0.0,0.0,0.0,184659968.0,26210304.0,601878528.0,229216256.0,0.100,0.080,0.060
27-12 05:55:04,0.0,0.0,0.0,0.510,0.510,98.980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184655872.0,26210304.0,601882624.0,229216256.0,0.0,0.0,0.100,0.080,0.060,60.0,60.0,27-12 05:55:04,0.0,0.515,99.485,0.0,0.0,0.0,184655872.0,26210304.0,601882624.0,229216256.0,0.100,0.080,0.060
