"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","vagrant"
"Cmdline:","dstat -tcmsn -N eth1 --output /home/Client/client1NetworkUsage.csv",,,,"Date:","27 Dec 2020 05:53:13 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"swap",,"net/eth1",
27-12 05:53:25,8.108,5.946,82.703,0.0,0.0,3.243,188334080.0,26292224.0,601886720.0,225452032.0,0.0,0.0,372817.0,7314.0
27-12 05:53:26,0.535,0.0,99.465,0.0,0.0,0.0,188321792.0,26292224.0,601890816.0,225460224.0,0.0,0.0,0.0,0.0
27-12 05:53:27,0.0,0.617,99.383,0.0,0.0,0.0,188321792.0,26292224.0,601890816.0,225460224.0,0.0,0.0,0.0,0.0
27-12 05:53:28,0.503,0.0,98.995,0.0,0.0,0.503,188321792.0,26296320.0,601886720.0,225460224.0,0.0,0.0,0.0,0.0
27-12 05:53:29,0.0,0.0,100.0,0.0,0.0,0.0,188317696.0,26296320.0,601890816.0,225460224.0,0.0,0.0,0.0,0.0
27-12 05:53:30,0.575,0.0,99.425,0.0,0.0,0.0,188317696.0,26296320.0,601890816.0,225460224.0,0.0,0.0,0.0,0.0
27-12 05:53:31,0.0,0.0,100.0,0.0,0.0,0.0,188317696.0,26296320.0,601890816.0,225460224.0,0.0,0.0,0.0,0.0
27-12 05:53:32,0.495,0.495,99.010,0.0,0.0,0.0,188317696.0,26296320.0,601890816.0,225460224.0,0.0,0.0,0.0,0.0
27-12 05:53:33,0.503,0.0,99.497,0.0,0.0,0.0,188317696.0,26300416.0,601886720.0,225460224.0,0.0,0.0,0.0,0.0
27-12 05:53:34,0.0,0.500,99.500,0.0,0.0,0.0,188313600.0,26300416.0,601890816.0,225460224.0,0.0,0.0,0.0,0.0
27-12 05:53:35,0.505,0.505,98.990,0.0,0.0,0.0,188346368.0,26300416.0,601890816.0,225427456.0,0.0,0.0,8971.0,330.0
27-12 05:53:36,0.543,0.0,99.457,0.0,0.0,0.0,188346368.0,26300416.0,601890816.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:53:37,0.549,0.549,98.901,0.0,0.0,0.0,188346368.0,26300416.0,601890816.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:53:38,0.0,0.0,100.0,0.0,0.0,0.0,188346368.0,26304512.0,601886720.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:53:39,0.0,0.526,99.474,0.0,0.0,0.0,188338176.0,26304512.0,601894912.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:53:40,0.515,0.0,99.485,0.0,0.0,0.0,188338176.0,26304512.0,601894912.0,225427456.0,0.0,0.0,60.0,0.0
27-12 05:53:41,0.606,0.0,99.394,0.0,0.0,0.0,188338176.0,26304512.0,601894912.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:53:42,0.0,0.532,99.468,0.0,0.0,0.0,188338176.0,26304512.0,601894912.0,225427456.0,0.0,0.0,139.0,132.0
27-12 05:53:43,0.571,0.0,98.857,0.0,0.0,0.571,188338176.0,26312704.0,601886720.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:53:44,0.0,0.0,100.0,0.0,0.0,0.0,188329984.0,26312704.0,601894912.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:53:45,0.0,1.099,98.901,0.0,0.0,0.0,188329984.0,26312704.0,601894912.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:53:46,0.518,0.0,99.482,0.0,0.0,0.0,188329984.0,26312704.0,601894912.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:53:47,0.0,0.0,100.0,0.0,0.0,0.0,188329984.0,26312704.0,601894912.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:53:48,0.505,0.0,99.495,0.0,0.0,0.0,188329984.0,26312704.0,601894912.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:53:49,0.0,0.0,100.0,0.0,0.0,0.0,188329984.0,26316800.0,601890816.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:53:50,0.0,0.0,100.0,0.0,0.0,0.0,188325888.0,26316800.0,601894912.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:53:51,0.546,0.546,98.907,0.0,0.0,0.0,188325888.0,26316800.0,601894912.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:53:52,0.0,0.0,100.0,0.0,0.0,0.0,188325888.0,26316800.0,601894912.0,225427456.0,0.0,0.0,254.0,132.0
27-12 05:53:53,0.515,0.0,99.485,0.0,0.0,0.0,188321792.0,26316800.0,601899008.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:53:54,0.0,0.0,100.0,0.0,0.0,0.0,188321792.0,26324992.0,601890816.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:53:55,0.503,0.0,98.995,0.0,0.0,0.503,188313600.0,26324992.0,601899008.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:53:56,1.724,0.575,97.701,0.0,0.0,0.0,188313600.0,26324992.0,601899008.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:53:57,0.667,0.0,99.333,0.0,0.0,0.0,188313600.0,26324992.0,601899008.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:53:58,0.0,0.568,99.432,0.0,0.0,0.0,188313600.0,26324992.0,601899008.0,225427456.0,0.0,0.0,60.0,0.0
27-12 05:53:59,0.543,0.0,99.457,0.0,0.0,0.0,188313600.0,26333184.0,601890816.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:54:00,0.0,0.552,99.448,0.0,0.0,0.0,188305408.0,26333184.0,601899008.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:54:01,1.124,0.0,98.876,0.0,0.0,0.0,188305408.0,26333184.0,601899008.0,225427456.0,0.0,0.0,139.0,132.0
27-12 05:54:02,0.505,0.0,99.495,0.0,0.0,0.0,188305408.0,26333184.0,601899008.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:54:03,0.0,0.0,100.0,0.0,0.0,0.0,188305408.0,26333184.0,601899008.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:54:04,0.515,0.515,98.969,0.0,0.0,0.0,188301312.0,26337280.0,601899008.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:54:05,0.0,0.0,100.0,0.0,0.0,0.0,188301312.0,26337280.0,601899008.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:54:06,0.575,0.575,97.701,0.0,0.0,1.149,188297216.0,26337280.0,601903104.0,225427456.0,0.0,0.0,60.0,60.0
27-12 05:54:07,0.0,0.0,100.0,0.0,0.0,0.0,188297216.0,26337280.0,601903104.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:54:08,0.559,0.0,99.441,0.0,0.0,0.0,188297216.0,26337280.0,601903104.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:54:09,0.0,0.0,100.0,0.0,0.0,0.0,188297216.0,26337280.0,601903104.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:54:10,0.0,0.529,99.471,0.0,0.0,0.0,188293120.0,26341376.0,601903104.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:54:11,0.562,0.562,98.876,0.0,0.0,0.0,188293120.0,26341376.0,601903104.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:54:12,0.0,0.0,100.0,0.0,0.0,0.0,188293120.0,26341376.0,601903104.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:54:13,0.0,0.0,100.0,0.0,0.0,0.0,188293120.0,26341376.0,601903104.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:54:14,0.503,0.0,99.497,0.0,0.0,0.0,188293120.0,26341376.0,601903104.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:54:15,0.0,0.510,99.490,0.0,0.0,0.0,188284928.0,26349568.0,601903104.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:54:16,0.500,0.0,99.500,0.0,0.0,0.0,188284928.0,26349568.0,601903104.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:54:17,0.0,0.0,99.468,0.0,0.0,0.532,188284928.0,26349568.0,601903104.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:54:18,0.0,0.0,100.0,0.0,0.0,0.0,188284928.0,26349568.0,601903104.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:54:19,0.0,0.0,100.0,0.0,0.0,0.0,188284928.0,26349568.0,601903104.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:54:20,0.0,0.505,99.495,0.0,0.0,0.0,188280832.0,26357760.0,601899008.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:54:21,0.0,0.0,100.0,0.0,0.0,0.0,188272640.0,26357760.0,601907200.0,225427456.0,0.0,0.0,0.0,0.0
27-12 05:54:22,0.0,1.531,97.959,0.0,0.0,0.510,188239872.0,26357760.0,601907200.0,225460224.0,0.0,0.0,41626.0,1914.0
27-12 05:54:23,0.515,0.0,99.485,0.0,0.0,0.0,188305408.0,26357760.0,601907200.0,225394688.0,0.0,0.0,0.0,0.0
27-12 05:54:24,0.0,0.500,99.500,0.0,0.0,0.0,188305408.0,26357760.0,601907200.0,225394688.0,0.0,0.0,0.0,0.0
27-12 05:54:25,0.503,0.0,99.497,0.0,0.0,0.0,188305408.0,26365952.0,601899008.0,225394688.0,0.0,0.0,0.0,0.0
27-12 05:54:26,0.0,0.0,100.0,0.0,0.0,0.0,188305408.0,26365952.0,601899008.0,225394688.0,0.0,0.0,0.0,0.0
27-12 05:54:27,0.0,0.503,98.995,0.0,0.0,0.503,188297216.0,26365952.0,601907200.0,225394688.0,0.0,0.0,0.0,0.0
27-12 05:54:28,0.0,0.510,99.490,0.0,0.0,0.0,188297216.0,26365952.0,601907200.0,225394688.0,0.0,0.0,0.0,0.0
27-12 05:54:29,0.552,0.0,99.448,0.0,0.0,0.0,188297216.0,26365952.0,601907200.0,225394688.0,0.0,0.0,0.0,0.0
27-12 05:54:30,0.0,0.0,100.0,0.0,0.0,0.0,188297216.0,26374144.0,601899008.0,225394688.0,0.0,0.0,0.0,0.0
27-12 05:54:31,0.503,0.0,99.497,0.0,0.0,0.0,188289024.0,26374144.0,601907200.0,225394688.0,0.0,0.0,0.0,0.0
27-12 05:54:32,0.0,0.0,100.0,0.0,0.0,0.0,188289024.0,26374144.0,601907200.0,225394688.0,0.0,0.0,0.0,0.0
27-12 05:54:33,0.0,0.498,99.502,0.0,0.0,0.0,188284928.0,26374144.0,601911296.0,225394688.0,0.0,0.0,0.0,0.0
27-12 05:54:34,0.500,0.500,98.500,0.0,0.0,0.500,188284928.0,26374144.0,601911296.0,225394688.0,0.0,0.0,0.0,0.0
27-12 05:54:35,0.0,0.0,100.0,0.0,0.0,0.0,188284928.0,26382336.0,601903104.0,225394688.0,0.0,0.0,0.0,0.0
27-12 05:54:36,0.503,0.0,99.497,0.0,0.0,0.0,188276736.0,26382336.0,601911296.0,225394688.0,0.0,0.0,0.0,0.0
27-12 05:54:37,0.0,0.0,100.0,0.0,0.0,0.0,188276736.0,26382336.0,601911296.0,225394688.0,0.0,0.0,0.0,0.0
27-12 05:54:38,0.0,0.0,100.0,0.0,0.0,0.0,188276736.0,26382336.0,601911296.0,225394688.0,0.0,0.0,0.0,0.0
27-12 05:54:39,0.0,0.500,99.500,0.0,0.0,0.0,188276736.0,26382336.0,601911296.0,225394688.0,0.0,0.0,0.0,0.0
27-12 05:54:40,0.500,0.0,99.500,0.0,0.0,0.0,188276736.0,26390528.0,601903104.0,225394688.0,0.0,0.0,0.0,0.0
27-12 05:54:41,0.0,0.0,100.0,0.0,0.0,0.0,188268544.0,26390528.0,601911296.0,225394688.0,0.0,0.0,0.0,0.0
27-12 05:54:42,0.0,0.0,100.0,0.0,0.0,0.0,188268544.0,26390528.0,601911296.0,225394688.0,0.0,0.0,0.0,0.0
27-12 05:54:43,0.0,0.0,100.0,0.0,0.0,0.0,188268544.0,26390528.0,601911296.0,225394688.0,0.0,0.0,0.0,0.0
27-12 05:54:44,0.500,0.0,99.500,0.0,0.0,0.0,188268544.0,26390528.0,601911296.0,225394688.0,0.0,0.0,0.0,0.0
27-12 05:54:45,0.0,0.503,99.497,0.0,0.0,0.0,188395520.0,26394624.0,601907200.0,225267712.0,0.0,0.0,0.0,0.0
27-12 05:54:46,0.503,0.0,99.497,0.0,0.0,0.0,188395520.0,26394624.0,601907200.0,225267712.0,0.0,0.0,0.0,0.0
27-12 05:54:47,0.0,0.500,99.500,0.0,0.0,0.0,188387328.0,26394624.0,601915392.0,225267712.0,0.0,0.0,0.0,0.0
27-12 05:54:48,0.0,0.0,100.0,0.0,0.0,0.0,188387328.0,26394624.0,601915392.0,225267712.0,0.0,0.0,139.0,132.0
27-12 05:54:49,0.503,0.0,99.497,0.0,0.0,0.0,188387328.0,26394624.0,601915392.0,225267712.0,0.0,0.0,0.0,0.0
27-12 05:54:50,0.0,0.500,99.500,0.0,0.0,0.0,188387328.0,26402816.0,601907200.0,225267712.0,0.0,0.0,0.0,0.0
27-12 05:54:51,0.505,0.0,98.990,0.0,0.0,0.505,188379136.0,26402816.0,601915392.0,225267712.0,0.0,0.0,0.0,0.0
27-12 05:54:52,0.0,0.0,100.0,0.0,0.0,0.0,188379136.0,26402816.0,601915392.0,225267712.0,0.0,0.0,0.0,0.0
27-12 05:54:53,0.500,0.0,99.500,0.0,0.0,0.0,188379136.0,26402816.0,601915392.0,225267712.0,0.0,0.0,60.0,60.0
27-12 05:54:54,0.0,0.505,99.495,0.0,0.0,0.0,188379136.0,26402816.0,601915392.0,225267712.0,0.0,0.0,0.0,0.0
27-12 05:54:55,0.498,0.0,99.502,0.0,0.0,0.0,188379136.0,26411008.0,601907200.0,225267712.0,0.0,0.0,0.0,0.0
27-12 05:54:56,0.0,0.0,100.0,0.0,0.0,0.0,188379136.0,26411008.0,601907200.0,225267712.0,0.0,0.0,0.0,0.0
27-12 05:54:57,0.498,0.498,99.005,0.0,0.0,0.0,188370944.0,26411008.0,601915392.0,225267712.0,0.0,0.0,0.0,0.0
27-12 05:54:58,0.0,0.0,100.0,0.0,0.0,0.0,188370944.0,26411008.0,601915392.0,225267712.0,0.0,0.0,0.0,0.0
27-12 05:54:59,0.0,0.0,100.0,0.0,0.0,0.0,188370944.0,26411008.0,601915392.0,225267712.0,0.0,0.0,0.0,0.0
27-12 05:55:00,0.0,0.0,100.0,0.0,0.0,0.0,188366848.0,26411008.0,601919488.0,225267712.0,0.0,0.0,0.0,0.0
27-12 05:55:01,0.0,0.503,99.497,0.0,0.0,0.0,188362752.0,26415104.0,601919488.0,225267712.0,0.0,0.0,0.0,0.0
27-12 05:55:02,0.0,0.0,100.0,0.0,0.0,0.0,188362752.0,26415104.0,601919488.0,225267712.0,0.0,0.0,0.0,0.0
27-12 05:55:03,3.518,0.503,93.467,0.0,0.0,2.513,206766080.0,26415104.0,601919488.0,206864384.0,0.0,0.0,3221836.0,14256.0
27-12 05:55:04,4.737,5.263,87.895,0.0,0.0,2.105,213921792.0,26415104.0,601919488.0,199708672.0,0.0,0.0,703466.0,3828.0
27-12 05:55:05,0.503,2.010,96.985,0.0,0.0,0.503,213901312.0,26415104.0,601919488.0,199729152.0,0.0,0.0,0.0,0.0
27-12 05:55:06,0.500,2.500,97.0,0.0,0.0,0.0,213929984.0,26419200.0,601919488.0,199696384.0,0.0,0.0,0.0,0.0
27-12 05:55:07,0.0,1.523,97.970,0.0,0.0,0.508,213889024.0,26419200.0,601919488.0,199737344.0,0.0,0.0,0.0,0.0
27-12 05:55:08,0.503,2.010,96.985,0.0,0.0,0.503,213884928.0,26419200.0,601919488.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:09,0.500,2.500,96.500,0.0,0.0,0.500,213884928.0,26419200.0,601919488.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:10,0.538,1.075,97.849,0.0,0.0,0.538,213884928.0,26419200.0,601919488.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:11,0.529,2.646,96.296,0.0,0.0,0.529,213876736.0,26427392.0,601919488.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:12,0.549,2.198,97.253,0.0,0.0,0.0,213843968.0,26427392.0,601919488.0,199774208.0,0.0,0.0,0.0,0.0
27-12 05:55:13,0.0,1.058,98.413,0.0,0.0,0.529,213839872.0,26427392.0,601923584.0,199774208.0,0.0,0.0,0.0,0.0
27-12 05:55:14,1.015,1.015,97.462,0.0,0.0,0.508,213872640.0,26431488.0,601919488.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:15,0.0,1.075,97.849,0.0,0.0,1.075,213868544.0,26431488.0,601923584.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:16,0.565,0.0,99.435,0.0,0.0,0.0,213868544.0,26435584.0,601919488.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:17,0.518,0.518,98.964,0.0,0.0,0.0,213864448.0,26435584.0,601923584.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:18,0.0,0.500,99.500,0.0,0.0,0.0,213864448.0,26435584.0,601923584.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:19,0.0,0.0,100.0,0.0,0.0,0.0,213864448.0,26435584.0,601923584.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:20,0.0,0.0,100.0,0.0,0.0,0.0,213864448.0,26435584.0,601923584.0,199741440.0,0.0,0.0,139.0,132.0
27-12 05:55:21,0.498,0.995,98.507,0.0,0.0,0.0,213864448.0,26435584.0,601923584.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:22,0.513,0.0,99.487,0.0,0.0,0.0,213864448.0,26439680.0,601919488.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:23,0.0,0.0,100.0,0.0,0.0,0.0,213860352.0,26439680.0,601923584.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:24,0.505,0.0,99.495,0.0,0.0,0.0,213860352.0,26439680.0,601923584.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:25,0.549,0.0,99.451,0.0,0.0,0.0,213860352.0,26439680.0,601923584.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:26,0.515,0.0,99.485,0.0,0.0,0.0,213860352.0,26439680.0,601923584.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:27,0.0,0.526,99.474,0.0,0.0,0.0,213856256.0,26443776.0,601923584.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:28,0.0,0.546,99.454,0.0,0.0,0.0,213852160.0,26443776.0,601927680.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:29,0.0,0.0,100.0,0.0,0.0,0.0,213852160.0,26443776.0,601927680.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:30,0.0,0.0,100.0,0.0,0.0,0.0,213852160.0,26443776.0,601927680.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:31,0.498,0.498,99.005,0.0,0.0,0.0,213852160.0,26443776.0,601927680.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:32,0.0,0.0,100.0,0.0,0.0,0.0,213852160.0,26443776.0,601927680.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:33,0.0,0.0,100.0,0.0,0.0,0.0,213852160.0,26451968.0,601919488.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:34,0.505,0.505,98.990,0.0,0.0,0.0,213843968.0,26451968.0,601927680.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:35,0.0,0.0,99.500,0.0,0.0,0.500,213843968.0,26451968.0,601927680.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:36,0.0,0.0,100.0,0.0,0.0,0.0,213843968.0,26451968.0,601927680.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:37,0.0,0.0,100.0,0.0,0.0,0.0,213843968.0,26451968.0,601927680.0,199741440.0,0.0,0.0,389.0,132.0
27-12 05:55:38,0.0,0.505,98.990,0.505,0.0,0.0,213843968.0,26460160.0,601919488.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:39,0.0,0.500,99.500,0.0,0.0,0.0,213835776.0,26460160.0,601927680.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:40,0.508,0.0,98.985,0.0,0.0,0.508,213835776.0,26460160.0,601927680.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:41,0.0,0.0,100.0,0.0,0.0,0.0,213831680.0,26460160.0,601931776.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:42,0.0,0.0,100.0,0.0,0.0,0.0,213831680.0,26460160.0,601931776.0,199741440.0,0.0,0.0,60.0,60.0
27-12 05:55:43,0.0,0.0,100.0,0.0,0.0,0.0,213831680.0,26464256.0,601927680.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:44,0.0,0.0,100.0,0.0,0.0,0.0,213831680.0,26464256.0,601927680.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:45,0.503,0.0,99.497,0.0,0.0,0.0,213835776.0,26464256.0,601931776.0,199733248.0,0.0,0.0,0.0,0.0
27-12 05:55:46,0.0,0.510,99.490,0.0,0.0,0.0,213827584.0,26464256.0,601931776.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:47,0.0,0.0,100.0,0.0,0.0,0.0,213827584.0,26464256.0,601931776.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:48,0.0,0.500,99.500,0.0,0.0,0.0,213827584.0,26472448.0,601923584.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:49,0.0,0.0,100.0,0.0,0.0,0.0,213827584.0,26472448.0,601923584.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:50,0.0,0.503,99.497,0.0,0.0,0.0,213819392.0,26472448.0,601931776.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:51,0.508,0.0,99.492,0.0,0.0,0.0,213819392.0,26472448.0,601931776.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:52,0.0,0.0,100.0,0.0,0.0,0.0,213819392.0,26472448.0,601931776.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:53,0.0,1.124,98.315,0.0,0.0,0.562,213819392.0,26472448.0,601931776.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:54,0.0,0.0,100.0,0.0,0.0,0.0,213815296.0,26472448.0,601935872.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:55,0.0,0.518,99.482,0.0,0.0,0.0,213815296.0,26472448.0,601935872.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:56,0.568,0.0,99.432,0.0,0.0,0.0,213815296.0,26472448.0,601935872.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:57,0.0,0.0,100.0,0.0,0.0,0.0,213815296.0,26472448.0,601935872.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:58,0.581,0.0,99.419,0.0,0.0,0.0,213815296.0,26472448.0,601935872.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:55:59,0.0,0.568,99.432,0.0,0.0,0.0,213807104.0,26480640.0,601935872.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:56:00,0.0,0.0,100.0,0.0,0.0,0.0,213807104.0,26480640.0,601935872.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:56:01,0.0,0.592,99.408,0.0,0.0,0.0,213807104.0,26480640.0,601935872.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:56:02,0.515,0.0,99.485,0.0,0.0,0.0,213807104.0,26480640.0,601935872.0,199741440.0,0.0,0.0,1151.0,132.0
27-12 05:56:03,0.510,0.510,98.980,0.0,0.0,0.0,213807104.0,26480640.0,601935872.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:56:04,0.546,0.546,98.907,0.0,0.0,0.0,213798912.0,26488832.0,601935872.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:56:05,0.0,0.0,100.0,0.0,0.0,0.0,213798912.0,26488832.0,601935872.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:56:06,0.0,0.654,99.346,0.0,0.0,0.0,213798912.0,26488832.0,601935872.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:56:07,0.0,0.585,99.415,0.0,0.0,0.0,213798912.0,26488832.0,601935872.0,199741440.0,0.0,0.0,60.0,60.0
27-12 05:56:08,0.575,0.0,99.425,0.0,0.0,0.0,213794816.0,26488832.0,601939968.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:56:09,0.0,0.0,99.448,0.0,0.0,0.552,213794816.0,26497024.0,601931776.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:56:10,0.508,0.508,98.985,0.0,0.0,0.0,213786624.0,26497024.0,601939968.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:56:11,0.549,0.0,99.451,0.0,0.0,0.0,213786624.0,26497024.0,601939968.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:56:12,0.0,0.0,100.0,0.0,0.0,0.0,213786624.0,26497024.0,601939968.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:56:13,0.562,0.0,98.876,0.0,0.0,0.562,213786624.0,26497024.0,601939968.0,199741440.0,0.0,0.0,0.0,0.0
27-12 05:56:14,0.610,0.0,99.390,0.0,0.0,0.0,213786624.0,26505216.0,601931776.0,199741440.0,0.0,0.0,0.0,0.0
