"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","vagrant"
"Cmdline:","dstat -tpcdrmgln --time --cpu --mem --load --output /home/Client/client1CPUUsage.csv",,,,"Date:","28 Dec 2020 00:02:36 UTC"

"system","procs",,,"total cpu usage",,,,,,"dsk/total",,"io/total",,"memory usage",,,,"paging",,"load avg",,,"net/total",,"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,
28-12 00:02:53,0.0,0.0,0.0,0.0,0.513,99.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184053760.0,26136576.0,601931776.0,229842944.0,0.0,0.0,0.130,0.100,0.050,0.0,0.0,28-12 00:02:53,0.0,0.0,100.0,0.0,0.0,0.0,184053760.0,26136576.0,601931776.0,229842944.0,0.130,0.100,0.050
28-12 00:02:54,0.0,0.0,0.0,0.505,0.0,99.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184053760.0,26136576.0,601931776.0,229842944.0,0.0,0.0,0.130,0.100,0.050,254.0,312.0,28-12 00:02:54,0.508,0.0,99.492,0.0,0.0,0.0,184053760.0,26136576.0,601931776.0,229842944.0,0.130,0.100,0.050
28-12 00:02:55,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184053760.0,26136576.0,601931776.0,229842944.0,0.0,0.0,0.130,0.100,0.050,254.0,312.0,28-12 00:02:55,0.0,0.0,100.0,0.0,0.0,0.0,184053760.0,26136576.0,601931776.0,229842944.0,0.130,0.100,0.050
28-12 00:02:56,0.0,0.0,0.0,0.505,0.0,99.495,0.0,0.0,0.0,0.0,180224.0,0.0,33.0,184053760.0,26136576.0,601931776.0,229842944.0,0.0,0.0,0.130,0.100,0.050,0.0,0.0,28-12 00:02:56,0.505,0.0,99.495,0.0,0.0,0.0,184053760.0,26136576.0,601931776.0,229842944.0,0.130,0.100,0.050
28-12 00:02:57,0.0,0.0,0.0,0.510,0.0,99.490,0.0,0.0,0.0,0.0,28672.0,0.0,3.0,184053760.0,26136576.0,601931776.0,229842944.0,0.0,0.0,0.130,0.100,0.050,2523.0,3344.0,28-12 00:02:57,0.510,0.0,99.490,0.0,0.0,0.0,184053760.0,26136576.0,601931776.0,229842944.0,0.130,0.100,0.050
28-12 00:02:58,0.0,0.0,0.0,0.0,0.505,99.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184053760.0,26136576.0,601931776.0,229842944.0,0.0,0.0,0.120,0.090,0.050,1025.0,1260.0,28-12 00:02:58,0.500,0.500,99.0,0.0,0.0,0.0,184053760.0,26136576.0,601931776.0,229842944.0,0.120,0.090,0.050
28-12 00:02:59,0.0,0.0,0.0,0.505,0.0,99.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184053760.0,26136576.0,601931776.0,229842944.0,0.0,0.0,0.120,0.090,0.050,860.0,1032.0,28-12 00:02:59,0.508,0.0,99.492,0.0,0.0,0.0,184053760.0,26136576.0,601931776.0,229842944.0,0.120,0.090,0.050
28-12 00:03:00,0.0,0.0,0.0,0.495,0.495,99.010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184053760.0,26136576.0,601931776.0,229842944.0,0.0,0.0,0.120,0.090,0.050,254.0,312.0,28-12 00:03:00,0.0,0.498,99.502,0.0,0.0,0.0,184053760.0,26136576.0,601931776.0,229842944.0,0.120,0.090,0.050
28-12 00:03:01,0.0,0.0,0.0,0.513,0.0,99.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184049664.0,26136576.0,601935872.0,229842944.0,0.0,0.0,0.120,0.090,0.050,254.0,312.0,28-12 00:03:01,0.510,0.0,99.490,0.0,0.0,0.0,184049664.0,26136576.0,601935872.0,229842944.0,0.120,0.090,0.050
28-12 00:03:02,0.0,0.0,0.0,0.500,0.0,99.500,0.0,0.0,0.0,0.0,12288.0,0.0,2.0,184049664.0,26140672.0,601931776.0,229842944.0,0.0,0.0,0.120,0.090,0.050,254.0,312.0,28-12 00:03:02,0.503,0.0,99.497,0.0,0.0,0.0,184049664.0,26140672.0,601931776.0,229842944.0,0.120,0.090,0.050
28-12 00:03:03,0.0,0.0,0.0,0.0,0.0,99.482,0.0,0.0,0.518,0.0,0.0,0.0,0.0,184045568.0,26140672.0,601935872.0,229842944.0,0.0,0.0,0.110,0.090,0.050,1090.0,1590.0,28-12 00:03:03,0.0,0.515,98.969,0.0,0.0,0.515,184045568.0,26140672.0,601935872.0,229842944.0,0.110,0.090,0.050
28-12 00:03:04,0.0,0.0,0.0,2.513,1.005,96.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184680448.0,26140672.0,601935872.0,229208064.0,0.0,0.0,0.110,0.090,0.050,10839.0,32234.0,28-12 00:03:04,2.525,0.505,96.970,0.0,0.0,0.0,184680448.0,26140672.0,601935872.0,229208064.0,0.110,0.090,0.050
28-12 00:03:05,0.0,0.0,0.0,0.508,0.0,98.985,0.0,0.0,0.508,0.0,0.0,0.0,0.0,184713216.0,26140672.0,601935872.0,229175296.0,0.0,0.0,0.110,0.090,0.050,254.0,312.0,28-12 00:03:05,0.508,0.0,98.985,0.0,0.0,0.508,184713216.0,26140672.0,601935872.0,229175296.0,0.110,0.090,0.050
28-12 00:03:06,0.0,0.0,0.0,2.020,1.515,95.455,0.0,0.0,1.010,0.0,0.0,0.0,0.0,185094144.0,26140672.0,601935872.0,228794368.0,0.0,0.0,0.110,0.090,0.050,20752.0,26762.0,28-12 00:03:06,2.010,1.508,95.477,0.0,0.0,1.005,185094144.0,26140672.0,601935872.0,228794368.0,0.110,0.090,0.050
28-12 00:03:07,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,16384.0,0.0,2.0,185126912.0,26148864.0,601927680.0,228761600.0,0.0,0.0,0.110,0.090,0.050,254.0,312.0,28-12 00:03:07,0.0,0.0,100.0,0.0,0.0,0.0,185126912.0,26148864.0,601927680.0,228761600.0,0.110,0.090,0.050
28-12 00:03:08,0.0,0.0,0.0,0.0,0.503,99.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185118720.0,26148864.0,601935872.0,228761600.0,0.0,0.0,0.100,0.090,0.050,254.0,312.0,28-12 00:03:08,0.498,0.498,99.005,0.0,0.0,0.0,185118720.0,26148864.0,601935872.0,228761600.0,0.100,0.090,0.050
28-12 00:03:09,0.0,0.0,0.0,3.015,0.0,96.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185753600.0,26148864.0,601935872.0,228126720.0,0.0,0.0,0.100,0.090,0.050,2629.0,2962.0,28-12 00:03:09,2.538,0.0,97.462,0.0,0.0,0.0,185753600.0,26148864.0,601935872.0,228126720.0,0.100,0.090,0.050
28-12 00:03:10,0.0,0.0,0.0,0.503,0.0,99.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185753600.0,26148864.0,601935872.0,228126720.0,0.0,0.0,0.100,0.090,0.050,0.0,0.0,28-12 00:03:10,0.500,0.500,99.0,0.0,0.0,0.0,185753600.0,26148864.0,601935872.0,228126720.0,0.100,0.090,0.050
28-12 00:03:11,0.0,0.0,0.0,0.0,0.503,98.995,0.0,0.0,0.503,0.0,0.0,0.0,0.0,185753600.0,26148864.0,601935872.0,228126720.0,0.0,0.0,0.100,0.090,0.050,0.0,0.0,28-12 00:03:11,0.503,0.0,98.995,0.0,0.0,0.503,185753600.0,26148864.0,601935872.0,228126720.0,0.100,0.090,0.050
28-12 00:03:12,0.0,0.0,0.0,0.503,0.503,98.492,0.0,0.0,0.503,0.0,12288.0,0.0,2.0,185749504.0,26152960.0,601935872.0,228126720.0,0.0,0.0,0.100,0.090,0.050,254.0,312.0,28-12 00:03:12,0.0,0.505,98.990,0.0,0.0,0.505,185749504.0,26152960.0,601935872.0,228126720.0,0.100,0.090,0.050
28-12 00:03:13,0.0,0.0,0.0,0.510,0.0,99.490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185749504.0,26152960.0,601935872.0,228126720.0,0.0,0.0,0.090,0.090,0.050,0.0,0.0,28-12 00:03:13,0.505,0.505,98.990,0.0,0.0,0.0,185749504.0,26152960.0,601935872.0,228126720.0,0.090,0.090,0.050
28-12 00:03:14,1.0,0.0,0.0,34.932,41.096,12.329,0.0,0.0,11.644,0.0,0.0,0.0,0.0,191025152.0,26152960.0,601935872.0,222851072.0,0.0,0.0,0.090,0.090,0.050,1641828.0,1531426.0,28-12 00:03:14,35.172,40.690,12.414,0.0,0.0,11.724,191025152.0,26152960.0,601935872.0,222851072.0,0.090,0.090,0.050
28-12 00:03:15,0.0,0.0,0.0,4.061,2.030,92.893,0.0,0.0,1.015,0.0,0.0,0.0,0.0,191004672.0,26152960.0,601939968.0,222867456.0,0.0,0.0,0.090,0.090,0.050,62725.0,225172.0,28-12 00:03:15,4.082,2.041,92.857,0.0,0.0,1.020,191004672.0,26152960.0,601939968.0,222867456.0,0.090,0.090,0.050
28-12 00:03:16,0.0,0.0,0.0,0.510,1.020,98.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190873600.0,26152960.0,601939968.0,222998528.0,0.0,0.0,0.090,0.090,0.050,4920.0,148844.0,28-12 00:03:16,0.510,1.020,98.469,0.0,0.0,0.0,190873600.0,26152960.0,601939968.0,222998528.0,0.090,0.090,0.050
28-12 00:03:17,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190644224.0,26152960.0,601939968.0,223227904.0,0.0,0.0,0.090,0.090,0.050,10256.0,215698.0,28-12 00:03:17,0.0,2.020,97.980,0.0,0.0,0.0,190644224.0,26152960.0,601939968.0,223227904.0,0.090,0.090,0.050
28-12 00:03:18,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,0.0,2.0,190574592.0,26157056.0,601939968.0,223293440.0,0.0,0.0,0.090,0.090,0.050,3090.0,89106.0,28-12 00:03:18,0.498,0.0,99.502,0.0,0.0,0.0,190574592.0,26157056.0,601939968.0,223293440.0,0.090,0.090,0.050
28-12 00:03:19,0.0,0.0,0.0,0.592,0.592,97.041,0.0,0.0,1.775,0.0,0.0,0.0,0.0,190226432.0,26157056.0,601939968.0,223641600.0,0.0,0.0,0.090,0.090,0.050,434.0,432.0,28-12 00:03:19,0.0,0.599,97.605,0.0,0.0,1.796,190226432.0,26157056.0,601939968.0,223641600.0,0.090,0.090,0.050
28-12 00:03:20,0.0,0.0,0.0,0.541,0.0,99.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190226432.0,26157056.0,601939968.0,223641600.0,0.0,0.0,0.090,0.090,0.050,180.0,120.0,28-12 00:03:20,0.541,0.0,99.459,0.0,0.0,0.0,190226432.0,26157056.0,601939968.0,223641600.0,0.090,0.090,0.050
28-12 00:03:21,0.0,0.0,0.0,0.549,0.0,99.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190193664.0,26157056.0,601939968.0,223674368.0,0.0,0.0,0.090,0.090,0.050,924.0,1128.0,28-12 00:03:21,0.549,0.0,99.451,0.0,0.0,0.0,190193664.0,26157056.0,601939968.0,223674368.0,0.090,0.090,0.050
28-12 00:03:22,0.0,0.0,0.0,0.515,0.0,99.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190193664.0,26157056.0,601939968.0,223674368.0,0.0,0.0,0.090,0.090,0.050,1067.0,1068.0,28-12 00:03:22,0.515,0.0,99.485,0.0,0.0,0.0,190193664.0,26157056.0,601939968.0,223674368.0,0.090,0.090,0.050
28-12 00:03:23,0.0,0.0,0.0,0.535,0.0,98.930,0.0,0.0,0.535,0.0,12288.0,0.0,2.0,190189568.0,26161152.0,601939968.0,223674368.0,0.0,0.0,0.080,0.090,0.050,90.0,60.0,28-12 00:03:23,0.535,0.0,98.930,0.0,0.0,0.535,190189568.0,26161152.0,601939968.0,223674368.0,0.080,0.090,0.050
28-12 00:03:24,0.0,0.0,0.0,0.503,0.503,98.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190222336.0,26161152.0,601939968.0,223641600.0,0.0,0.0,0.080,0.090,0.050,18776.0,20190.0,28-12 00:03:24,1.0,0.500,98.500,0.0,0.0,0.0,190222336.0,26161152.0,601939968.0,223641600.0,0.080,0.090,0.050
28-12 00:03:25,0.0,0.0,0.0,0.500,0.0,99.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190189568.0,26161152.0,601939968.0,223674368.0,0.0,0.0,0.080,0.090,0.050,254.0,312.0,28-12 00:03:25,0.0,0.0,100.0,0.0,0.0,0.0,190189568.0,26161152.0,601939968.0,223674368.0,0.080,0.090,0.050
28-12 00:03:26,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,16384.0,0.0,1.0,190189568.0,26161152.0,601939968.0,223674368.0,0.0,0.0,0.080,0.090,0.050,314.0,372.0,28-12 00:03:26,0.0,0.0,100.0,0.0,0.0,0.0,190189568.0,26161152.0,601939968.0,223674368.0,0.080,0.090,0.050
28-12 00:03:27,0.0,0.0,0.0,0.0,0.0,99.497,0.0,0.0,0.503,0.0,0.0,0.0,0.0,190189568.0,26161152.0,601939968.0,223674368.0,0.0,0.0,0.080,0.090,0.050,801.0,980.0,28-12 00:03:27,0.0,0.0,99.500,0.0,0.0,0.500,190189568.0,26161152.0,601939968.0,223674368.0,0.080,0.090,0.050
28-12 00:03:28,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,16384.0,0.0,2.0,190185472.0,26165248.0,601939968.0,223674368.0,0.0,0.0,0.070,0.080,0.050,344.0,372.0,28-12 00:03:28,0.0,0.0,100.0,0.0,0.0,0.0,190185472.0,26165248.0,601939968.0,223674368.0,0.070,0.080,0.050
28-12 00:03:29,0.0,0.0,0.0,0.505,0.0,99.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190181376.0,26165248.0,601944064.0,223674368.0,0.0,0.0,0.070,0.080,0.050,270.0,180.0,28-12 00:03:29,0.505,0.0,99.495,0.0,0.0,0.0,190181376.0,26165248.0,601944064.0,223674368.0,0.070,0.080,0.050
28-12 00:03:30,0.0,0.0,0.0,0.503,1.508,97.487,0.0,0.0,0.503,0.0,0.0,0.0,0.0,190181376.0,26165248.0,601944064.0,223674368.0,0.0,0.0,0.070,0.080,0.050,63666.0,66782.0,28-12 00:03:30,0.503,1.508,97.487,0.0,0.0,0.503,190181376.0,26165248.0,601944064.0,223674368.0,0.070,0.080,0.050
28-12 00:03:31,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,20480.0,0.0,2.0,190181376.0,26165248.0,601944064.0,223674368.0,0.0,0.0,0.070,0.080,0.050,180.0,120.0,28-12 00:03:31,0.500,0.0,99.500,0.0,0.0,0.0,190181376.0,26165248.0,601944064.0,223674368.0,0.070,0.080,0.050
28-12 00:03:32,0.0,0.0,1.0,0.508,0.508,98.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190349312.0,26165248.0,601944064.0,223506432.0,0.0,0.0,0.070,0.080,0.050,687.0,754.0,28-12 00:03:32,0.505,0.505,98.990,0.0,0.0,0.0,190349312.0,26165248.0,601944064.0,223506432.0,0.070,0.080,0.050
28-12 00:03:33,0.0,0.0,0.0,0.500,0.0,99.0,0.0,0.0,0.500,0.0,28672.0,0.0,3.0,190337024.0,26169344.0,601944064.0,223514624.0,0.0,0.0,0.070,0.080,0.050,254.0,312.0,28-12 00:03:33,0.0,0.0,99.495,0.0,0.0,0.505,190337024.0,26169344.0,601944064.0,223514624.0,0.070,0.080,0.050
28-12 00:03:34,0.0,0.0,0.0,0.0,0.0,99.444,0.0,0.0,0.556,0.0,0.0,0.0,0.0,190369792.0,26169344.0,601944064.0,223481856.0,0.0,0.0,0.070,0.080,0.050,254.0,312.0,28-12 00:03:34,0.552,0.0,98.895,0.0,0.0,0.552,190369792.0,26169344.0,601944064.0,223481856.0,0.070,0.080,0.050
28-12 00:03:35,0.0,0.0,0.0,0.552,0.0,98.895,0.0,0.0,0.552,0.0,0.0,0.0,0.0,190369792.0,26169344.0,601944064.0,223481856.0,0.0,0.0,0.070,0.080,0.050,0.0,0.0,28-12 00:03:35,0.0,0.552,98.895,0.0,0.0,0.552,190369792.0,26169344.0,601944064.0,223481856.0,0.070,0.080,0.050
28-12 00:03:36,0.0,0.0,0.0,0.508,0.508,98.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190369792.0,26169344.0,601944064.0,223481856.0,0.0,0.0,0.070,0.080,0.050,760.0,948.0,28-12 00:03:36,0.510,0.0,99.490,0.0,0.0,0.0,190369792.0,26169344.0,601944064.0,223481856.0,0.070,0.080,0.050
28-12 00:03:37,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190369792.0,26169344.0,601944064.0,223481856.0,0.0,0.0,0.070,0.080,0.050,60.0,60.0,28-12 00:03:37,0.0,0.0,100.0,0.0,0.0,0.0,190369792.0,26169344.0,601944064.0,223481856.0,0.070,0.080,0.050
28-12 00:03:38,0.0,0.0,0.0,0.0,0.515,99.485,0.0,0.0,0.0,0.0,12288.0,0.0,2.0,190365696.0,26173440.0,601944064.0,223481856.0,0.0,0.0,0.060,0.080,0.050,254.0,312.0,28-12 00:03:38,0.0,0.515,99.485,0.0,0.0,0.0,190365696.0,26173440.0,601944064.0,223481856.0,0.060,0.080,0.050
28-12 00:03:39,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190365696.0,26173440.0,601944064.0,223481856.0,0.0,0.0,0.060,0.080,0.050,254.0,312.0,28-12 00:03:39,0.0,0.0,100.0,0.0,0.0,0.0,190365696.0,26173440.0,601944064.0,223481856.0,0.060,0.080,0.050
28-12 00:03:40,0.0,0.0,0.0,0.0,0.0,99.479,0.0,0.0,0.521,0.0,0.0,0.0,0.0,190365696.0,26173440.0,601944064.0,223481856.0,0.0,0.0,0.060,0.080,0.050,254.0,312.0,28-12 00:03:40,0.518,0.0,98.964,0.0,0.0,0.518,190365696.0,26173440.0,601944064.0,223481856.0,0.060,0.080,0.050
28-12 00:03:41,0.0,0.0,0.0,0.503,0.503,98.492,0.0,0.0,0.503,0.0,0.0,0.0,0.0,190365696.0,26173440.0,601944064.0,223481856.0,0.0,0.0,0.060,0.080,0.050,0.0,0.0,28-12 00:03:41,0.0,0.505,98.990,0.0,0.0,0.505,190365696.0,26173440.0,601944064.0,223481856.0,0.060,0.080,0.050
28-12 00:03:42,0.0,0.0,0.0,0.0,0.508,98.985,0.0,0.0,0.508,0.0,0.0,0.0,0.0,190394368.0,26173440.0,601948160.0,223449088.0,0.0,0.0,0.060,0.080,0.050,1967.0,2448.0,28-12 00:03:42,0.0,0.508,98.985,0.0,0.0,0.508,190394368.0,26173440.0,601948160.0,223449088.0,0.060,0.080,0.050
28-12 00:03:43,0.0,0.0,0.0,0.500,0.0,99.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190361600.0,26173440.0,601948160.0,223481856.0,0.0,0.0,0.060,0.080,0.050,431.0,548.0,28-12 00:03:43,0.503,0.0,99.497,0.0,0.0,0.0,190361600.0,26173440.0,601948160.0,223481856.0,0.060,0.080,0.050
28-12 00:03:44,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,0.0,2.0,190353408.0,26181632.0,601948160.0,223481856.0,0.0,0.0,0.060,0.080,0.050,2805.0,3108.0,28-12 00:03:44,0.0,0.0,100.0,0.0,0.0,0.0,190353408.0,26181632.0,601948160.0,223481856.0,0.060,0.080,0.050
28-12 00:03:45,0.0,0.0,0.0,0.0,0.500,99.0,0.0,0.0,0.500,0.0,0.0,0.0,0.0,190353408.0,26181632.0,601948160.0,223481856.0,0.0,0.0,0.060,0.080,0.050,254.0,312.0,28-12 00:03:45,0.0,0.500,99.0,0.0,0.0,0.500,190353408.0,26181632.0,601948160.0,223481856.0,0.060,0.080,0.050
28-12 00:03:46,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190353408.0,26181632.0,601948160.0,223481856.0,0.0,0.0,0.060,0.080,0.050,508.0,624.0,28-12 00:03:46,0.0,0.0,100.0,0.0,0.0,0.0,190353408.0,26181632.0,601948160.0,223481856.0,0.060,0.080,0.050
28-12 00:03:47,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190353408.0,26181632.0,601948160.0,223481856.0,0.0,0.0,0.060,0.080,0.050,566.0,684.0,28-12 00:03:47,0.0,0.0,100.0,0.0,0.0,0.0,190353408.0,26181632.0,601948160.0,223481856.0,0.060,0.080,0.050
